time,effr_avg_oct,effr_avg_nov,effr_end_oct,effr_start_nov,volume,effr_end_nov,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2024-08-01 05:00:00+00:00,5.05,4.905,5.05,5.05,165,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:01:00+00:00,5.05,4.905,5.05,5.05,18,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:02:00+00:00,5.05,4.905,5.05,5.05,22,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:06:00+00:00,5.05,4.905,5.05,5.05,13,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:08:00+00:00,5.05,4.905,5.05,5.05,27,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:25:00+00:00,5.05,4.905,5.05,5.05,70,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:26:00+00:00,5.05,4.905,5.05,5.05,14,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:28:00+00:00,5.05,4.905,5.05,5.05,42,4.860869565,-0.189130435,-0.756521739,-1,0.243478261,0,0,0,0.756521739,0.243478261,0,0,0,0
2024-08-01 05:41:00+00:00,5.04,4.9,5.04,5.04,275,4.857391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 05:54:00+00:00,5.04,4.9,5.04,5.04,2,4.857391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 06:40:00+00:00,5.045,4.905,5.045,5.045,206,4.862391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 06:48:00+00:00,5.045,4.905,5.045,5.045,7,4.862391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 06:49:00+00:00,5.045,4.905,5.045,5.045,16,4.862391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 06:57:00+00:00,5.045,4.905,5.045,5.045,4,4.862391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 07:00:00+00:00,5.045,4.905,5.045,5.045,1,4.862391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
2024-08-01 07:41:00+00:00,5.04,4.905,5.04,5.04,25,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 07:43:00+00:00,5.04,4.905,5.04,5.04,89,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 07:44:00+00:00,5.04,4.905,5.04,5.04,27,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:01:00+00:00,5.04,4.905,5.04,5.04,65,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:06:00+00:00,5.04,4.905,5.04,5.04,164,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:07:00+00:00,5.04,4.905,5.04,5.04,124,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:23:00+00:00,5.04,4.905,5.04,5.04,6,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:28:00+00:00,5.04,4.905,5.04,5.04,173,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:32:00+00:00,5.04,4.905,5.04,5.04,8,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:33:00+00:00,5.04,4.905,5.04,5.04,260,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:41:00+00:00,5.04,4.905,5.04,5.04,5,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:42:00+00:00,5.04,4.905,5.04,5.04,77,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:44:00+00:00,5.04,4.905,5.04,5.04,50,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:47:00+00:00,5.04,4.905,5.04,5.04,77,4.863913043,-0.176086957,-0.704347826,-1,0.295652174,0,0,0,0.704347826,0.295652174,0,0,0,0
2024-08-01 08:50:00+00:00,5.04,4.9,5.04,5.04,101,4.857391304,-0.182608696,-0.730434783,-1,0.269565217,0,0,0,0.730434783,0.269565217,0,0,0,0
